species,season,mound,count
carolina,fall,east,17
green_striped,fall,east,0
katydid,fall,east,18
mantis,fall,east,6
red_legged,fall,east,47
carolina,spring,east,0
green_striped,spring,east,7
katydid,spring,east,1
mantis,spring,east,0
red_legged,spring,east,0
carolina,fall,north,59
green_striped,fall,north,0
katydid,fall,north,13
mantis,fall,north,1
red_legged,fall,north,75
carolina,spring,north,4
green_striped,spring,north,61
katydid,spring,north,0
mantis,spring,north,0
red_legged,spring,north,0
